run_name,SA,SA_init,SA_update_factor,activations,elapsed_time_s,final_loss,fourier_features,initialization,iterations_per_sec,l2_relative_error,lr,lr_decay,mean_pde_residual,mlp_type,n_domain,n_fourier_features,n_hidden,n_iter,net_type,num_domain,pde_coefficient,rank,seed,sigma
serene-sweep-10,True,constant,-1,tanh,191.7252058982849,0.00043402050505392253,True,Glorot normal,417.2638627517867,0.00166089844568737,1e-05,"['warmup cosine', 0.001, 1000, 80000, 1e-05]",0.001446358859539032,mlp,22500,128,3,80000,SPINN,22500,0.001,32,1,10
distinctive-sweep-11,True,constant,-1,tanh,161.0352964401245,0.0004274075909052044,True,Glorot normal,496.7854983875866,0.0013883051309556075,1e-05,"['warmup cosine', 0.001, 1000, 80000, 1e-05]",0.0012313101906329391,mlp,22500,128,3,80000,SPINN,22500,0.001,32,2,10
misunderstood-sweep-12,True,constant,-1,tanh,211.6599912643433,0.0007579289958812296,True,Glorot normal,377.9646759036646,0.0019899089343834724,1e-05,"['warmup cosine', 0.001, 1000, 80000, 1e-05]",0.001470367657020688,mlp,22500,128,3,80000,SPINN,22500,0.001,32,3,10
kind-sweep-13,True,constant,-1,tanh,169.92104601860046,0.0005852027679793537,True,Glorot normal,470.80689458116194,0.0023873729427911655,1e-05,"['warmup cosine', 0.001, 1000, 80000, 1e-05]",0.0016837288858368993,mlp,22500,128,3,80000,SPINN,22500,0.001,64,0,10
upbeat-sweep-14,True,constant,-1,tanh,183.71058297157288,0.00040252567850984633,True,Glorot normal,435.46756374062073,0.0017690365415935494,1e-05,"['warmup cosine', 0.001, 1000, 80000, 1e-05]",0.0012805922888219357,mlp,22500,128,3,80000,SPINN,22500,0.001,64,1,10
efficient-sweep-15,True,constant,-1,tanh,189.08820700645447,0.00042965461034327745,True,Glorot normal,423.0829688774257,0.0011170096368928546,1e-05,"['warmup cosine', 0.001, 1000, 80000, 1e-05]",0.0012671354925259948,mlp,22500,128,3,80000,SPINN,22500,0.001,64,2,10
avid-sweep-16,True,constant,-1,tanh,183.85130429267883,0.0007826236542314291,True,Glorot normal,435.1342532367647,0.002537601355737581,1e-05,"['warmup cosine', 0.001, 1000, 80000, 1e-05]",0.0018412519712001083,mlp,22500,128,3,80000,SPINN,22500,0.001,64,3,10
good-sweep-17,True,constant,-1,tanh,212.89254689216617,0.002012098440900445,True,Glorot normal,375.7764241531735,0.004371536938090254,1e-05,"['warmup cosine', 0.001, 1000, 80000, 1e-05]",0.0020884580444544554,mlp,40000,64,3,80000,SPINN,22500,0.001,32,0,10
dazzling-sweep-18,True,constant,-1,tanh,208.1030411720276,0.0006124491337686777,True,Glorot normal,384.4249442460973,0.002613675276185908,1e-05,"['warmup cosine', 0.001, 1000, 80000, 1e-05]",0.0015369950560852883,mlp,40000,64,3,80000,SPINN,22500,0.001,32,1,10
gentle-sweep-19,True,constant,-1,tanh,170.36199831962583,0.000996714341454208,True,Glorot normal,469.58829309989335,0.002607908458138633,1e-05,"['warmup cosine', 0.001, 1000, 80000, 1e-05]",0.0017271178076043725,mlp,40000,64,3,80000,SPINN,22500,0.001,32,2,10
