1.694915314492538576e-06 1.785714205170048721e-06 9.110235584489628161e-09 1.381517742446168147e-08 -3.953568687594080275e-04 1.017025060234603984e-02 2.648836308558762207e-03 1.389113048722630026e+02 2.234361646411065578e+02 1.347535681632774356e+02
1.010100720694881105e+00 1.737682588083384303e-06 8.865191138988526215e-09 1.344358083290480291e-08 -2.287155156075194027e-04 8.272710288401867451e-03 2.320345166517997874e-03 1.172440199489324471e+02 1.852554263810075099e+02 1.140614433861774160e+02
2.020199745227780674e+00 1.691233022356002589e-06 8.628217896075796819e-09 1.308422378167078450e-08 -6.207416398877472390e-05 6.375169975952859301e-03 1.991854024057694138e-03 9.557673500650277276e+01 1.470746881260358521e+02 9.336931859932531097e+01
3.030298767136097915e+00 1.648114116667080911e-06 8.408236788219574258e-09 1.275063438029048837e-08 1.045671844022735922e-04 4.477629666651597104e-03 1.663362880714142717e-03 7.390945002386419560e+01 1.088939498818587879e+02 7.267719379194235785e+01
4.040397786564581928e+00 1.608008974138716516e-06 5.194351014955518394e-09 5.397265139212886131e-09 1.103085119587980971e-04 3.874683259042480468e-03 1.599908553519903019e-03 6.678535401633916990e+01 9.690035199300861279e+01 6.666274972430861112e+01
5.050496804622599534e+00 1.569569368876844301e-06 5.070179567167274402e-09 5.268243010268675672e-09 9.940308254589126169e-05 3.405666361160628649e-03 1.563872323713027092e-03 6.116576030781722295e+01 8.761586653673511194e+01 6.216672888017630072e+01
6.060595819056755929e+00 1.535358611896865215e-06 4.959668566486430548e-09 5.153414965387431115e-09 8.849765210370448001e-05 2.936649464892771792e-03 1.527836093988514535e-03 5.554616659839175696e+01 7.833138110070429150e+01 5.767070804238895931e+01
7.070694832325099988e+00 1.502460101566575274e-06 4.726042697060163687e-09 4.244281604506807791e-09 6.159935339264143480e-05 2.791630987240090699e-03 1.500598557018583074e-03 5.312924746144096844e+01 7.496950053222055033e+01 5.573704032512527817e+01
8.080793843027276324e+00 1.472437095651253212e-06 4.631604243921701623e-09 4.159469973485576126e-09 3.100986310189398574e-05 2.721386393949719318e-03 1.475391546801923344e-03 5.145145031513516187e+01 7.297446256191773273e+01 5.439472065325450245e+01
9.090892851635146599e+00 1.444664150940987628e-06 4.544243439747608207e-09 4.081014513415003355e-09 4.203726347474421724e-07 2.651141800935679412e-03 1.450184536709437288e-03 4.977365317036102965e+01 7.097942459676843896e+01 5.305240098495082890e+01
1.010099185890490503e+01 1.418328836604501615e-06 4.125357770652471074e-09 3.687581572976008862e-09 -5.144481842043700578e-06 2.609384501326313978e-03 1.427980081201827081e-03 4.889732859386099761e+01 6.981356045920783515e+01 5.218849298064296960e+01
1.111109086314769456e+01 1.395104308975241074e-06 4.057806802682848941e-09 3.627199002888742730e-09 -9.163418079291723282e-07 2.578775388071679990e-03 1.406950623406292211e-03 4.833464893980955424e+01 6.897218277884641680e+01 5.151180473788616609e+01
1.212118986639311657e+01 1.372868022762844710e-06 3.993130239045754599e-09 3.569385810062599337e-09 3.311798146310525290e-06 2.548166274871470349e-03 1.385921165668929774e-03 4.777196928574800694e+01 6.813080509954926356e+01 5.083511649624581707e+01
1.313128886735861833e+01 1.352867006884538675e-06 3.654724496496639633e-09 3.494744180093154060e-09 -1.830141937252367366e-06 2.552619230543539883e-03 1.345767315887058798e-03 4.710732395765855074e+01 6.754291893750487930e+01 4.992435922830642880e+01
1.414138786667214909e+01 1.334407025958459765e-06 3.604855482261050254e-09 3.447058110340462518e-09 -1.259469051837798633e-05 2.578111409859885298e-03 1.294137788242487449e-03 4.638149348854330611e+01 6.710714229156944555e+01 4.887314794581418198e+01
1.515148686477088624e+01 1.317080275770561520e-06 3.558047851796761473e-09 3.402299416680836905e-09 -2.335923916605855442e-05 2.603603589205621700e-03 1.242508260665257198e-03 4.565566301954374495e+01 6.667136564651724484e+01 4.782193666455525261e+01
1.616158586046338286e+01 1.301884342980703358e-06 2.940324805786156836e-09 3.513276329442615179e-09 -2.072941743277774038e-05 2.627436159303431912e-03 1.189925108358046374e-03 4.514409752074188020e+01 6.632942213463162773e+01 4.683928543733127015e+01
1.717168485533390410e+01 1.287390795322819835e-06 2.907590916409387477e-09 3.474163916252178662e-09 -6.279564494553863131e-06 2.649804195146634490e-03 1.136500392005132271e-03 4.482161254433771091e+01 6.607028262146725694e+01 4.591713537997047467e+01
1.818178384825970539e+01 1.274529082722794889e-06 2.878542550582564130e-09 3.439455187520054526e-09 8.170288238114953641e-06 2.672172231035191414e-03 1.083075675784214795e-03 4.449912756665317914e+01 6.581114310902979980e+01 4.499498532435666931e+01
1.919188283993064204e+01 1.262663975983801529e-06 2.403017043500025635e-09 3.533452469451119006e-09 1.177360247150877499e-05 2.705343017426626358e-03 1.021256710207828645e-03 4.396056425290538527e+01 6.550911957254632512e+01 4.388320887290470296e+01
2.020198183054264263e+01 1.251639874827610504e-06 2.382036716791855315e-09 3.502602506311073593e-09 1.429460235570154495e-06 2.752405033593116439e-03 9.486435909586128732e-04 4.314414767657187610e+01 6.515195226343223567e+01 4.252759271625187409e+01
2.121208081930676315e+01 1.242004158294432649e-06 2.363698669384386221e-09 3.475637812460024150e-09 -8.914682172412821500e-06 2.799467049750082020e-03 8.760304718705061834e-04 4.232773109945127032e+01 6.479478495483120071e+01 4.117197656183851961e+01
2.222217980741437415e+01 1.232846927863342092e-06 1.748440984082583450e-09 3.628943985153719472e-09 -1.056620498608661233e-05 2.843632588738342383e-03 8.025863141897024563e-04 4.162823401435288417e+01 6.446182436414828487e+01 3.984210588027634259e+01
2.323227879392203832e+01 1.224827300317451686e-06 1.737067434351072186e-09 3.605337826716709561e-09 4.380337782608862802e-06 2.882267508661472306e-03 7.275552403290241063e-04 4.115198704816871356e+01 6.417508441519960627e+01 3.856139289087781208e+01
2.424237777951447370e+01 1.217424175099067818e-06 1.726568217490483840e-09 3.583546373518162780e-09 1.932688044852907689e-05 2.920902428578159467e-03 6.525241665655998839e-04 4.067574008152206488e+01 6.388834446655911137e+01 3.728067990283410893e+01
2.525247676422203824e+01 1.210617110170152318e-06 1.295290875480389950e-09 3.698244564624496199e-09 2.798012789824102256e-05 2.956910154260528924e-03 5.834150509106595826e-04 4.014749873206177000e+01 6.357893894296010018e+01 3.606504231360392509e+01
2.626257574756850843e+01 1.204680313904180707e-06 1.288938844170504958e-09 3.680108587825158275e-09 1.774864241572797485e-05 2.985034196909063398e-03 5.320763849599640044e-04 3.946323360645595812e+01 6.320151804240263260e+01 3.504468077266493253e+01
2.727267473041089119e+01 1.199058866283325699e-06 1.282924217664477598e-09 3.662935951002627813e-09 7.517156896802717160e-06 3.013158239564885012e-03 4.807377190450616805e-04 3.877896848080610681e+01 6.282409714215071972e+01 3.402431923230955135e+01
2.828277371199598278e+01 1.194202623185649530e-06 7.946840611660406116e-10 3.778967507354327850e-09 -1.037934274249942770e-06 3.042747678498583432e-03 4.260563200025023218e-04 3.808939963417185481e+01 6.243968453635444860e+01 3.295269230297813579e+01
2.929287269294799856e+01 1.189714546727598394e-06 7.916974632296239481e-10 3.764765314167403353e-09 -5.367705067273897990e-07 3.080253486800949621e-03 3.533168415152290309e-04 3.737118028475748588e+01 6.201750234321885813e+01 3.160412057372652939e+01
