# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.783586914062500000e+03 2.615773315429687500e+02 2.959787525469437242e-05 3.245301055908203125e+01 4.873986181337386370e-04 2.474213093519210815e-01 7.097946107387542725e-02 1.781064941406250000e+03 2.613081359863281250e+02 3.010615182574838400e-05 3.295144653320312500e+01 4.824255884159356356e-04 2.474213093519210815e-01 7.097946107387542725e-02 1.133768320083618164e+00
2.500000000000000000e+02 9.920745849609375000e+02 1.529864196777343750e+02 6.338939070701599121e-01 7.941013813018798828e+00 1.088030338287353516e+01 2.576695382595062256e-01 6.258480548858642578e-01 9.971107788085937500e+02 1.516899108886718750e+02 6.303858160972595215e-01 7.605455398559570312e+00 1.053102684020996094e+01 2.576695382595062256e-01 6.258480548858642578e-01 1.150774002075195312e+00
5.000000000000000000e+02 3.637658081054687500e+02 8.061309814453125000e+01 6.352240562438964844e+00 4.392850399017333984e+00 3.619618892669677734e+00 1.841281801462173462e-01 4.832653701305389404e-01 3.417390136718750000e+02 7.497114562988281250e+01 6.200370788574218750e+00 4.285537719726562500e+00 3.504504919052124023e+00 1.841281801462173462e-01 4.832653701305389404e-01 6.878375411033630371e-01
7.500000000000000000e+02 1.791774902343750000e+02 1.388088321685791016e+01 4.824002265930175781e+00 4.859977722167968750e+00 8.095888137817382812e+00 1.043874025344848633e-01 5.784472823143005371e-01 1.669489898681640625e+02 1.299565887451171875e+01 4.671833992004394531e+00 4.770334243774414062e+00 7.989624500274658203e+00 1.043874025344848633e-01 5.784472823143005371e-01 8.355795145034790039e-01
1.000000000000000000e+03 8.243762016296386719e+00 3.196481227874755859e+00 1.606541633605957031e+00 1.261276841163635254e+00 5.766777992248535156e-01 3.663590550422668457e-02 7.121427357196807861e-02 6.981346130371093750e+00 2.865001678466796875e+00 1.473872423171997070e+00 1.178292393684387207e+00 5.775169134140014648e-01 3.663590550422668457e-02 7.121427357196807861e-02 3.630279600620269775e-01
1.250000000000000000e+03 5.088273525238037109e+00 1.123869419097900391e+00 5.923937559127807617e-01 3.045099377632141113e-01 2.664849758148193359e-01 2.244342677295207977e-02 1.429542712867259979e-02 4.217677593231201172e+00 1.006767511367797852e+00 5.205162763595581055e-01 2.696478962898254395e-01 2.511792182922363281e-01 2.244342677295207977e-02 1.429542712867259979e-02 3.306785523891448975e-01
1.500000000000000000e+03 3.168653964996337891e+00 4.612918496131896973e-01 2.642989754676818848e-01 1.958309859037399292e-01 1.609438508749008179e-01 1.968223229050636292e-02 2.076320163905620575e-02 2.548167228698730469e+00 4.084472060203552246e-01 2.318389862775802612e-01 1.804478764533996582e-01 1.512998938560485840e-01 1.968223229050636292e-02 2.076320163905620575e-02 3.082346618175506592e-01
1.750000000000000000e+03 1.898748397827148438e+00 2.643352150917053223e-01 1.924862563610076904e-01 1.717475056648254395e-01 1.060197204351425171e-01 1.986740157008171082e-02 2.153765223920345306e-02 1.475796699523925781e+00 2.415222823619842529e-01 1.664512157440185547e-01 1.580504626035690308e-01 9.827058762311935425e-02 1.986740157008171082e-02 2.153765223920345306e-02 2.874915897846221924e-01
2.000000000000000000e+03 1.298827171325683594e+00 2.001398354768753052e-01 1.462940126657485962e-01 1.235293447971343994e-01 8.016802370548248291e-02 1.920915581285953522e-02 1.939293183386325836e-02 9.961690902709960938e-01 1.830442547798156738e-01 1.244365721940994263e-01 1.105625554919242859e-01 7.357244938611984253e-02 1.920915581285953522e-02 1.939293183386325836e-02 2.713512480258941650e-01
2.250000000000000000e+03 1.031418085098266602e+00 1.597523391246795654e-01 1.064123809337615967e-01 9.199685603380203247e-02 5.678066611289978027e-02 1.858147233724594116e-02 1.680536940693855286e-02 7.925557494163513184e-01 1.461769640445709229e-01 8.878725767135620117e-02 8.131161332130432129e-02 5.147262290120124817e-02 1.858147233724594116e-02 1.680536940693855286e-02 2.619618773460388184e-01
